Robot,Distance [m],Levels,Cargo [kg],Elevation [m],Battery Level,Time of Day [h],Battery Error,Energy [kJ]
R1,152.53,4,4.16,16,0.5910586745902495,0.11,0,5.83115
R1,150.75,3,5.9,12,0.6852723079664105,22.5,0,5.70973
R1,75.52,3,7.81,12,0.4364630767880475,19.05,0,3.52973
R1,128.87,3,5.9,12,0.6227812643165427,18.16,0,5.06228
R2,153.49,4,4.34,16,0.9026920312246127,8.44,0,5.72542
R2,171.63,4,2.08,16,0.5237242845840795,18.71,0,4.81537
R2,167.54,2,2.74,8,0.6109958256543151,1.7,0,4.92276
R2,169.38,4,2.72,16,0.7403317015061917,3.0,0,5.20932
R2,95.95,4,2.16,16,0.3800071024603435,1.3,0,2.93992
R1,211.89,4,1.23,16,0.5961455767049942,7.34,0,6.49087
R2,185.18,3,7.25,12,0.6830594620989786,16.69,0,13.57774
R2,279.47,2,0.0,8,0.6605304205800839,13.24,0,12.67578
R2,168.19,3,2.21,12,0.742257891844829,19.39,0,4.5988
R1,338.71,3,6.04,12,0.5938267448520469,15.41,0,27.06135
R2,70.54,3,1.95,12,0.7436784560475177,18.71,0,2.20486
R1,191.71,4,3.97,16,0.7925950061503625,17.12,0,6.80987
R2,231.6,2,2.64,8,0.5604016546765629,5.8,0,6.31694
R1,143.12,3,1.43,12,0.4501569782549807,13.55,0,10.90092
R2,143.24,1,5.41,4,0.8040492725742368,9.38,0,9.55773
R1,249.52,3,0.0,12,0.6795500639465976,0.42,0,6.75209
R2,273.4,3,4.55,12,0.8798294417683883,0.94,0,9.26663
R2,149.02,2,1.58,8,0.9354485501727922,12.1,0,7.87922
R2,213.99,2,0.0,8,0.82909962700604,16.27,0,9.76922
R1,156.15,3,5.37,12,0.7993911572600308,4.49,0,5.75231
R2,148.61,3,0.63,12,0.29563588489752457,1.36,0,3.29522
R1,159.17,2,4.33,8,0.7132814867826788,9.98,0,12.33542
R1,231.91,4,3.95,16,0.8126364691262666,6.77,0,8.21238
R1,77.36,4,2.45,16,0.5269894260917478,11.91,0,6.67915
R1,314.29,2,0.0,8,0.5790644690102708,19.57,0,8.28742
R1,216.83,4,1.38,16,0.7355420204130991,8.42,0,6.78316
R2,164.46,2,1.86,8,0.3789296632199527,18.74,0,4.24411
R1,321.15,3,4.64,12,0.7481238362186419,22.94,0,10.71475
R2,185.2,4,2.39,16,0.968534351102808,23.14,0,5.32766
R2,114.32,4,3.37,16,0.8277180680112786,19.8,0,4.10787
R2,84.9,5,5.17,20,0.6374932523860941,8.61,0,3.63532
R1,311.58,2,6.21,8,0.732646783488474,1.74,0,10.80558
R2,184.27,4,2.52,16,0.44530356770017243,4.52,0,5.45626
R2,164.48,3,1.81,12,0.7636274188526816,15.66,0,9.01559
R2,89.75,4,1.32,16,0.812775152584742,6.34,0,2.61565
R2,163.91,4,3.74,16,0.5200927680203631,21.65,0,5.67759
R2,155.65,3,1.94,12,0.6878934535999859,14.1,0,8.52411
R1,72.35,5,4.61,20,0.7135736498180838,8.38,0,3.5505
R2,160.58,4,1.62,16,0.5768088424464496,4.16,0,4.3768
R1,213.74,3,0.73,12,0.8577592480945546,18.92,0,6.30085
R1,149.42,2,5.85,8,0.2203783518178114,1.98,0,5.27467
R1,262.09,3,2.03,12,0.3498929433271336,5.66,0,7.87666
R1,204.25,4,0.56,16,0.7744304151266924,9.82,0,15.31586
R1,134.13,3,2.38,12,0.6144424559763058,14.73,0,10.49203
R2,183.59,2,6.13,8,0.7498257875907028,12.96,0,12.47724
R2,146.39,2,0.88,8,0.5874762018578004,18.42,0,3.31909
R2,165.75,4,4.58,16,0.8647802266678832,2.02,0,6.10154
R2,82.26,2,1.96,8,0.17620553533638228,11.61,0,4.72267
R2,57.11,2,6.37,8,0.5533857583862101,2.47,0,2.69015
R1,238.2,3,2.46,12,0.7066846383355061,5.92,0,7.37309
R2,90.87,3,2.63,12,0.6605476814512194,12.95,0,5.52924
R1,213.29,3,6.69,12,0.926129174822521,9.97,0,17.44343
R2,190.45,1,1.41,4,0.7758807809966414,23.46,0,4.33326
R1,92.56,2,0.0,8,0.7226342463095998,3.69,0,2.81324
R2,269.55,4,2.62,16,0.47893026367075886,22.24,0,7.54638
R2,90.62,4,0.0,16,0.09621369429122317,17.91,0,3.02132
R2,253.42,4,8.36,16,0.3421697566857852,18.3,0,12.34169
R2,143.12,4,5.16,16,0.4398934125645495,17.36,0,5.83197
R2,170.73,5,1.08,20,0.9295209502170771,19.63,0,4.31463
R1,108.82,5,1.59,20,0.6656798779830009,11.24,0,8.98473
R1,365.81,3,5.18,12,0.29400101594629924,11.63,0,28.53245
R2,149.52,3,6.42,12,0.9550916109805084,21.45,0,6.4751
R2,136.97,4,3.69,16,0.3702755998079449,13.5,0,8.79293
R2,91.38,3,3.79,12,0.7011645162165884,10.24,0,5.9028
R2,88.23,3,1.62,12,0.5935191283184298,10.95,0,4.98334
R2,155.93,2,4.44,8,0.8144979909482997,2.52,0,5.47474
R2,162.61,2,6.26,8,0.6901113297813253,7.88,0,6.74083
R1,260.73,3,2.09,12,0.9646260454020626,17.75,0,7.77956
R1,234.27,3,2.21,12,0.8626037285459766,10.26,0,17.44932
R1,193.37,2,1.17,8,0.888766513648939,3.63,0,5.62331
R1,108.65,3,6.04,12,0.5128023238395785,10.48,0,9.27484
R2,133.95,1,3.37,4,0.9502918795289819,17.87,0,4.03063
R1,219.83,2,4.38,8,0.7708270839549025,15.24,0,17.29765
R2,276.62,3,5.09,12,0.36341294330125673,10.0,0,17.73507
R1,139.7,4,4.69,16,0.9212219885795204,2.76,0,5.37733
R1,125.08,2,1.63,8,0.6367938984804364,10.69,0,9.54941
R1,230.46,3,1.27,12,0.6147776331564969,3.61,0,6.74436
R2,339.21,2,5.74,8,0.6224011644507231,10.37,0,22.46913
R2,239.78,2,4.32,8,0.9640366704652277,18.51,0,8.03152
R2,152.41,4,3.56,16,0.458649583644972,15.43,0,9.39725
R2,151.05,2,3.74,8,0.9156370965756075,8.95,0,4.93523
R1,234.32,4,1.12,16,0.8897415884735504,11.62,0,17.6999
R2,330.28,2,3.56,8,0.6746577648991724,21.59,0,10.25047
R1,354.51,3,1.72,12,0.6294195329578258,12.13,0,26.28714
R2,366.3,4,9.26,16,0.6264103769088983,20.24,0,18.32917
R2,361.62,4,0.97,16,0.7982387443777663,8.88,0,7.80938
R1,99.9,3,1.92,12,0.09578481246209725,17.04,0,4.2822
R2,110.69,3,8.87,12,0.6319533027978383,11.2,0,8.89652
R2,230.17,3,2.34,12,0.8282032283189724,0.75,0,6.24586
R2,115.46,3,2.27,12,0.7383101782489843,18.48,0,3.45468
R1,154.97,3,4.91,12,0.7805494664521606,14.82,0,12.38093
R1,80.78,1,2.5,4,0.5424752019307458,10.05,0,6.31318
R1,254.68,3,6.43,12,0.4852629596554855,16.91,0,20.64051
R1,168.65,4,4.56,16,0.7632674929406031,18.14,0,6.05967
R2,61.99,4,4.91,16,0.20774051305506902,2.76,0,2.68876
R1,68.73,2,3.38,8,0.7951913278511923,16.24,0,5.5862
R2,154.86,3,2.54,12,0.8706963432758604,21.55,0,4.48944
R2,254.99,4,4.14,16,0.936549901974914,16.72,0,15.96888
R2,205.21,4,0.0,16,0.6726077387036078,17.41,0,3.9982
R1,179.83,3,8.02,12,0.7096038254792882,8.12,0,7.16278
R2,171.85,3,1.88,12,0.7917386727516311,6.31,0,4.56477
R1,222.94,2,0.35,8,0.3778164369395046,18.32,0,5.9682
R1,123.83,3,2.32,12,0.7299383129336211,8.59,0,4.14706
R2,349.27,4,2.72,16,0.9225327536655032,4.19,0,9.63626
R1,122.19,3,4.49,12,0.2145529306401116,6.8,0,4.4848
R1,88.43,3,0.0,12,0.6559858535433924,0.56,0,3.04967
R2,329.1,3,0.0,12,0.3205552763749697,8.52,0,5.87313
R2,209.53,4,0.0,16,0.905595232900387,22.98,0,4.116
R2,167.05,2,0.59,8,0.6742066174220271,17.13,0,3.56833
R1,372.51,3,6.9,12,0.6793612166155965,19.83,0,13.51943
R2,217.79,2,4.49,8,0.9380654666916228,0.26,0,7.43902
R2,239.79,1,0.0,4,0.7018938697883779,11.41,0,10.7313
R2,405.8,5,1.79,20,0.5853019575980903,8.47,0,10.06865
R2,85.0,2,1.45,8,0.8514265960206475,16.98,0,4.59445
R1,82.1,2,0.0,8,0.4241979086383111,1.94,0,2.61814
R1,245.98,2,1.35,8,0.25711271591244766,11.32,0,17.81224
R2,314.15,1,6.36,4,0.8449480107049016,0.64,0,12.24634
R2,77.17,6,4.32,24,0.7853643938236322,8.79,0,3.53904
R2,147.84,3,3.65,12,0.8380263454267798,15.33,0,8.91331
R2,313.63,3,5.88,12,0.34787911373553715,3.54,0,12.34867
R1,292.97,3,1.35,12,0.9259693572901952,23.73,0,8.49772
R2,245.65,4,4.42,16,0.7294913714565314,2.76,0,8.73888
R1,274.86,4,1.69,16,0.826634440272209,5.29,0,8.13998
R1,60.96,3,0.0,12,0.2839207593440033,18.89,0,2.17553
R1,128.68,3,0.47,12,0.920651703959729,18.9,0,3.98288
R2,144.41,3,2.37,12,0.8510721655109319,4.45,0,4.22224
R1,119.15,5,6.78,20,0.9525431634896024,15.14,0,10.3942
R2,89.64,2,3.41,8,0.2568265730293676,6.82,0,3.0202
R2,61.27,2,2.87,8,0.32002135942261034,23.64,0,2.10903
R2,90.81,6,3.22,24,0.5436269751398364,18.26,0,3.75336
R2,188.83,4,0.71,16,0.7439552458931438,13.03,0,9.44835
R2,89.27,5,1.03,20,0.4546067491931999,12.83,0,5.01008
R1,92.44,3,5.46,12,0.7944458583401555,10.48,0,7.99784
R2,168.53,3,3.07,12,0.5431864897702399,8.48,0,5.18799
R1,238.14,4,1.98,16,0.8252368602309224,9.31,0,18.33667
R2,61.82,3,3.66,12,0.6312821645442257,5.28,0,2.28035
R1,341.59,2,6.56,8,0.5330140480392849,13.73,0,27.72606
R2,142.7,1,6.47,4,0.8664272055645645,18.6,0,5.93015
R2,301.95,4,0.67,16,0.7585980200319165,13.39,0,14.78849
R2,308.72,2,4.32,8,0.7168185669191642,19.16,0,10.23304
R1,171.67,2,2.84,8,0.7655708591791235,2.27,0,5.59233
R2,197.42,2,0.24,8,0.8960534302531558,17.29,0,3.86788
R1,118.81,3,5.95,12,0.5654523011255371,18.89,0,4.62813
R1,159.71,3,4.02,12,0.5398486882868347,21.21,0,5.41022
R2,145.6,4,1.89,16,0.2331789391270236,14.03,0,8.2019
R2,296.02,1,7.79,4,0.9605740524531347,14.27,0,21.67111
R2,152.96,4,4.34,16,0.7867397330224377,2.66,0,5.72907
R2,83.77,4,3.48,16,0.8284352854237924,23.17,0,3.17929
R2,334.94,3,1.09,12,0.9351431713624437,2.63,0,7.17594
R2,149.32,4,4.12,16,0.8543645944448589,11.19,0,9.59705
R2,154.75,3,2.81,12,0.22127961563666276,9.22,0,8.88003
R1,95.59,1,3.47,4,0.5361161221167554,22.51,0,3.07451
R2,109.99,2,1.52,8,0.407638156748664,8.15,0,2.76418
R1,103.0,3,5.59,12,0.35513256651904623,9.35,0,8.68285
R2,359.28,3,0.69,12,0.37928036682697197,23.45,0,7.21748
R1,112.49,3,0.0,12,0.5474102243197619,21.18,0,3.4695
R2,177.29,3,3.36,12,0.3817114772531075,21.88,0,5.44253
R2,372.78,3,0.0,12,0.7473178510377974,10.7,0,16.94558
R2,144.81,3,0.4,12,0.8929566818555082,9.47,0,7.09187
R1,187.51,2,0.65,8,0.4064990731641279,23.15,0,5.28838
R1,159.16,3,3.51,12,0.529028071649057,15.54,0,12.61316
R1,202.16,4,1.96,16,0.48919558476103053,2.88,0,6.445
R1,225.44,2,4.99,8,0.7424043287106522,7.91,0,7.59909
R2,365.37,2,2.01,8,0.4501302739580233,4.74,0,9.07126
R2,247.58,4,4.39,16,0.5099899236162906,16.93,0,15.60793
R1,256.7,3,2.16,12,0.8084704162813903,2.37,0,7.81222
R2,332.82,4,4.39,16,0.20543999028609938,21.42,0,11.50237
R2,302.41,1,0.0,4,0.6143635170929296,18.49,0,5.23978
R2,183.47,4,4.09,16,0.5774420967962733,17.64,0,6.36621
R2,152.7,2,0.7,8,0.36382762496962673,9.94,0,7.46239
R2,246.1,4,2.72,16,0.4278333362504162,22.45,0,6.99749
R1,168.79,1,3.88,4,0.4245530266252928,17.22,0,5.33383
R2,331.65,4,6.04,16,0.6621993028370281,9.66,0,22.66191
R1,196.22,2,2.9,8,0.9211602538548864,14.54,0,14.77781
R1,96.07,3,1.17,12,0.684684154517168,3.79,0,3.28252
R2,175.59,2,3.88,8,0.9262035919260532,14.61,0,10.58991
R2,261.82,3,4.31,12,0.3618898484201679,12.85,0,16.3516
R1,71.74,3,0.0,12,0.9029712553162015,19.65,0,2.46167
R1,80.08,3,0.81,12,0.7125716666747182,4.62,0,2.83491
R2,139.7,2,0.0,8,0.5598649371787136,5.56,0,2.85439
R1,77.5,4,4.37,16,0.5726158673058835,5.52,0,3.41831
R1,119.31,5,3.79,20,0.32119169940485803,16.7,0,10.09373
R1,273.65,4,5.25,16,0.5854599556183765,11.29,0,22.54449
R1,142.25,3,3.52,12,0.9269880401349987,2.73,0,4.93436
R1,120.37,3,0.47,12,0.40128648206068085,12.59,0,9.18342
R2,134.13,2,4.21,8,0.6881989895892149,11.44,0,8.34988
R2,126.81,3,4.95,12,0.8403725143567067,19.67,0,4.9444
R2,86.61,3,1.13,12,0.5495626335305934,16.12,0,4.70985
R2,221.16,4,0.98,16,0.7947834506533205,5.56,0,5.03493
R2,266.68,5,1.67,20,0.9730573003231382,22.74,0,6.94466
R1,258.62,2,0.0,8,0.5239658408886418,7.08,0,6.87409
R2,320.61,4,1.12,16,0.29193124086863764,13.03,0,16.14622
R2,57.45,3,3.38,12,0.8399231773973662,3.12,0,2.23871
R1,348.23,3,3.39,12,0.500230247426823,19.62,0,10.75154
R1,77.35,5,3.09,20,0.6439939209773038,18.05,0,3.48989
R1,334.54,4,2.35,16,0.6838536576801575,12.21,0,25.18536
R1,178.33,2,7.59,8,0.613591344014365,17.04,0,6.77456
R1,125.71,3,1.97,12,0.5044244543755108,11.37,0,9.93044
R2,163.21,3,0.28,12,0.9428572622949305,10.67,0,7.96636
R1,161.76,3,0.99,12,0.43385485188354334,4.08,0,4.75688
R2,142.76,4,4.43,16,0.3580534468034974,13.04,0,9.17701
R1,237.05,1,0.54,4,0.7749730866342446,11.41,0,16.92766
R1,210.5,3,1.9,12,0.6086847328021302,1.18,0,6.31058
R1,288.53,2,1.3,8,0.4257319452982131,20.36,0,8.20048
R2,92.23,2,2.4,8,0.5569913651112985,1.57,0,2.73862
R1,169.09,2,2.0,8,0.732985180188398,18.36,0,4.98959
R2,291.57,4,1.19,16,0.6552835362796452,1.7,0,6.69006
R2,189.01,5,1.9,20,0.8775393499002095,13.0,0,10.40774
R2,99.16,3,1.58,12,0.8264630532884192,18.5,0,2.65228
R2,93.55,2,7.37,8,0.7375290512264752,17.18,0,4.2152
R1,176.59,3,3.28,12,0.6048714654720262,17.49,0,6.0975
R1,251.51,4,3.12,16,0.546024693650901,18.56,0,8.26954
R1,69.74,3,2.35,12,0.8631610908835575,18.68,0,2.64551
R2,95.78,3,4.0,12,0.9651178574087318,1.37,0,3.50979
R2,349.41,4,2.55,16,0.5504574458944063,2.97,0,9.49512
R2,62.82,3,4.95,12,0.15255960379251532,7.88,0,2.77266
R2,305.02,3,0.47,12,0.8377565176266952,20.44,0,6.06862
R2,135.07,5,0.0,20,0.7043101205145573,1.3,0,3.07297
R2,155.97,3,1.74,12,0.5897328624258942,16.28,0,8.45246
R2,220.0,2,4.16,8,0.39505721771921865,2.55,0,7.3693
R1,298.64,3,0.94,12,0.785209786755396,17.06,0,8.1627
R1,124.17,3,2.28,12,0.6440714235501448,2.1,0,4.01002
R1,181.65,3,3.9,12,0.6376944452862869,21.7,0,6.27522
R1,247.24,3,2.45,12,0.9641121997743183,16.7,0,18.93563
R1,302.43,3,3.17,12,0.6228997768245843,15.23,0,23.08591
R1,136.22,3,2.63,12,0.7631679881100989,5.73,0,4.53123
R2,130.2,4,1.73,16,0.8799373131595762,14.15,0,7.32893
R1,301.0,3,1.35,12,0.7097314712555323,16.92,0,22.25693
R2,131.54,2,3.32,8,0.9243121796467579,11.89,0,7.78856
R2,323.69,3,7.41,12,0.8101610916393713,11.3,0,23.63847
R1,92.95,2,4.18,8,0.3442991218072774,20.86,0,3.43634
R2,114.12,5,2.08,20,0.5796481684310952,14.9,0,6.72685
R2,154.48,4,1.23,16,0.4248114153196928,12.37,0,8.24702
R2,100.19,2,7.4,8,0.7219119852986549,19.0,0,4.76173
R2,166.31,2,0.0,8,0.9110215614755997,9.85,0,7.72933
R2,106.95,3,6.22,12,0.8596638304194367,21.51,0,4.7091
R1,98.34,5,4.62,20,0.8038653989108577,10.68,0,9.03139
R1,155.76,1,0.0,4,0.9175182936042398,0.41,0,4.13555
R2,229.4,2,1.02,8,0.7759252548289932,20.98,0,5.06556
R1,110.71,3,3.49,12,0.3308104831880604,19.02,0,4.12353
R1,122.64,2,2.71,8,0.5207261662356083,9.06,0,9.36566
R1,336.72,3,3.55,12,0.39924903850451876,11.19,0,26.06431
R2,127.71,3,5.12,12,0.14974748839083551,17.24,0,5.16658
R2,191.49,3,1.74,12,0.7422935305065439,4.66,0,4.91614
R2,111.32,5,3.09,20,0.5220739674811601,5.68,0,3.81925
R2,293.97,3,3.9,12,0.7941171972993142,19.16,0,9.32255
R2,265.18,2,4.17,8,0.490060406225871,20.57,0,8.70997
R2,271.26,4,7.03,16,0.5398500065096026,9.34,0,19.5646
R2,271.45,3,7.79,12,0.6511138547475455,20.3,0,12.58592
R2,93.24,3,2.63,12,0.5468089812197485,13.5,0,5.6285
R1,184.78,3,6.32,12,0.8689048959752427,11.12,0,15.18589
R2,217.2,2,2.27,8,0.4354574527259467,23.25,0,5.60708
R2,195.84,3,0.0,12,0.3446847660619521,4.03,0,3.69076
R2,138.17,4,0.94,16,0.5794972303872443,17.33,0,3.36078
R2,256.55,2,5.54,8,0.7946393692557187,10.1,0,16.7926
R2,113.83,2,3.82,8,0.29318076461184206,9.29,0,6.82896
R1,51.65,2,6.06,8,0.8994419533422763,20.73,0,2.39507
R1,69.03,3,3.27,12,0.8132816211084399,23.66,0,2.80162
R2,77.87,1,3.15,4,0.8843751236469226,18.11,0,2.49792
R2,364.2,3,3.37,12,0.5092369864177428,16.07,0,21.1471
R2,238.91,3,4.93,12,0.7726220554757949,15.83,0,15.47602
R2,232.81,3,1.16,12,0.6628405082196929,22.1,0,5.38595
R2,172.75,4,0.0,16,0.6849146219196385,20.73,0,3.4527
R1,180.75,2,0.0,8,0.605468980265057,18.16,0,5.16138
R1,316.22,3,2.11,12,0.6635297472400111,9.31,0,23.63562
R2,202.83,4,0.0,16,0.19667236255959353,14.46,0,9.54155
R2,229.89,2,0.0,8,0.5542934506030636,19.4,0,4.17459
R1,209.57,3,1.89,12,0.4925088285949507,11.37,0,15.29821
R2,128.24,1,1.93,4,0.9947355793848516,4.09,0,3.28837
R2,175.5,4,1.52,16,0.37949242369483827,22.48,0,4.60462
R1,59.1,4,1.56,16,0.4780272641244574,0.72,0,2.50913
R2,330.3,3,2.72,12,0.5354567145703066,7.03,0,9.24711
R2,172.99,3,2.94,12,0.5529559693071344,3.81,0,5.26879
R1,335.36,3,1.94,12,0.8280366406228632,15.28,0,24.87312
R1,192.54,2,0.0,8,0.9084145424898081,5.66,0,5.23184
R1,202.73,3,0.44,12,0.7006269300395846,10.35,0,14.78797
R1,245.28,5,6.9,20,0.7832790006501876,21.27,0,9.66734
R2,173.6,4,0.89,16,0.44942827760213433,7.07,0,4.04993
R2,187.86,2,3.63,8,0.9110849590993494,23.93,0,6.00272
R2,186.21,4,1.61,16,0.3118699975159258,19.4,0,4.80797
R1,202.53,3,5.18,12,0.8522928465295694,11.06,0,16.41428
R1,208.24,3,5.9,12,0.8274258095827391,4.14,0,7.42571
R2,123.13,4,0.0,16,0.7769620147667767,16.82,0,6.26455
R2,225.96,4,3.74,16,0.28167821948208727,5.32,0,7.44863
R2,175.94,3,5.6,12,0.7044577518293795,7.39,0,7.20159
R1,67.03,3,2.06,12,0.6349495559374064,22.13,0,2.65673
R2,72.16,3,0.7,12,0.6128462953239522,23.61,0,1.89518
R2,81.07,4,6.73,16,0.6294461647029197,3.84,0,4.24085
R1,329.07,3,0.0,12,0.14740232291158661,17.84,0,8.86133
R1,138.25,3,3.61,12,0.7931175083792434,22.52,0,4.78625
R1,327.18,1,4.51,4,0.69049488136702,8.96,0,10.54552
R1,304.26,3,4.14,12,0.4660269148148587,20.93,0,10.0237
R1,269.64,4,4.12,16,0.5372844537816045,8.48,0,9.29957
R2,241.91,2,4.52,8,0.21835923440415506,6.74,0,8.40337
R1,249.49,3,6.96,12,0.49763039003682985,10.74,0,20.08841
R1,238.7,5,6.07,20,0.7488250112869486,17.24,0,9.04311
R1,67.2,2,1.3,8,0.543514442069832,19.75,0,2.35097
R2,213.23,3,3.72,12,0.7415335788442661,3.4,0,6.87344
R1,119.87,5,4.2,20,0.7548789201845619,1.81,0,4.84178
R1,230.48,1,2.57,4,0.3104674745732229,23.47,0,6.76744
R2,340.28,4,6.34,16,0.8331904864633941,16.55,0,23.54188
R1,138.81,2,7.12,8,0.4247790431196954,15.97,0,11.38366
R1,72.56,2,4.98,8,0.9459208226614839,14.34,0,5.93538
R1,96.39,2,6.64,8,0.8925924529995114,0.59,0,3.74671
R2,233.05,2,0.0,8,0.3956881813093239,6.31,0,4.18893
R2,85.46,2,8.65,8,0.7546428883069178,4.78,0,4.5898
R1,163.71,2,5.45,8,0.856684325966015,0.24,0,5.8631
R1,218.6,3,0.0,12,0.7772717815685799,24.0,0,6.01122
R2,83.93,1,0.0,4,0.4667845884826548,3.11,0,1.58801
R1,247.06,3,4.54,12,0.2823703946671168,19.1,0,8.32889
R2,138.13,2,5.24,8,0.8607754627299183,6.96,0,5.37647
R1,219.56,5,0.0,20,0.17296114190310796,23.96,0,6.60422
R2,81.99,1,0.77,4,0.9396978632996781,14.17,0,4.16481
R2,398.83,1,2.04,4,0.7130316800808802,15.79,0,20.65549
R1,68.77,2,3.39,8,0.5385564812709952,11.07,0,5.64099
R1,242.71,1,2.47,4,0.9610509137390846,12.62,0,17.73432
R2,254.45,4,0.0,16,0.6503193692034681,9.56,0,11.9256
R1,435.16,1,1.87,4,0.5959986577341563,13.56,0,30.97571
R2,438.54,3,1.16,12,0.4295667278046482,2.34,0,9.59006
R1,67.92,3,1.82,12,0.7417032643075001,1.97,0,2.59138
R2,135.96,3,4.19,12,0.968322768585236,8.19,0,4.69699
R1,204.27,2,1.92,8,0.8443672661186837,2.01,0,6.03028
R2,161.89,3,1.84,12,0.9282375677642196,18.47,0,4.26067
R2,198.63,0,2.44,0,0.5304653214799162,5.98,0,5.12526
R2,119.92,2,0.0,8,0.9744962219071721,16.24,0,5.67416
R2,155.97,5,3.69,20,0.8980366522989078,2.07,0,5.42538
R1,166.09,2,6.57,8,0.5971857259237467,8.71,0,6.06589
R1,244.92,3,2.88,12,0.7382946299910831,22.5,0,7.76632
R1,222.68,4,0.53,16,0.8340661483484455,3.74,0,6.47072
R1,166.98,6,0.0,24,0.8196307787477161,5.11,0,5.56314
R2,178.7,3,2.8,12,0.855894776245302,11.5,0,10.11009
R2,143.22,4,5.5,16,0.5299475972925227,17.32,0,5.94092
R2,345.69,4,0.0,16,0.25374507423959136,16.01,0,15.81271
R1,92.63,4,3.15,16,0.6031684600252326,23.39,0,3.77819
R2,210.95,6,3.56,24,0.6855739474200069,6.05,0,7.13861
R2,198.73,3,4.83,12,0.744112453913393,3.53,0,7.08641
R1,155.57,4,3.7,16,0.4577439474125711,15.55,0,12.37209
R1,203.86,1,4.02,4,0.8060253137842366,2.7,0,6.39481
R2,163.58,3,5.58,12,0.4664840583570379,20.68,0,6.47165
R1,196.67,4,3.85,16,0.4211506927958627,5.24,0,6.9584
